Timestamp,Age,Occupation,Did you vote in the last election?,"(If “No,” ask this question)

Why didn’t you vote? ",Why did you vote for your candidate?  ,Which party do you belong to?,Why do you think the NPP parliamentary candidate lost in the election?,Did you know about Frederick Obeng Adom’s projects as MP before the election?,Do you think Frederick Obeng Adom solved the community’s problems?  ,Why do you think Emmanuel Drah (NDC) won?,What did the NDC do better than the NPP?  ,Which of the former MPs would you say was the best performing MP for the constituency?,Community name:,What are the biggest problems in your community? (Pick 2 or more)  ,Who addressed these issues better during the election?,Suggestions for the team that wants to win in 2028,Do you think the election results were fair and reflect the people’s choice?
12/27/2024 14:31,75,Farmer ,No,,"I liked their projects or promises, They were active in the community",NDC,He didn’t do enough for the community,"I heard, but they didn't help me","Yes, he did most of the work needed",People were not happy with the NPP government,They made stronger promises,Amankwanor,Mepom ,Jobs,Emmanuel Drah (NDC),Continue to work hard ,Yes
12/27/2024 14:32,,,Yes,,I support their party,,People didn't vote ,"Yes, I knew about them, Police station, mosques ","Yes, he did most of the work needed",Don't know ,Don't know ,Frederick Adom,Mepom ,Bad roads,,,Yes
12/27/2024 14:32,24,Make up artist,Yes,,They were active in the community,None,"People were not happy with the NPP government and wanted change, The NDC’s promises sounded better","I heard, but they didn't help me","He tried, but it wasn't enough","He was more visible and approachable, People were not happy with the NPP government","They were better at reaching people, They made stronger promises",Frederick Adom,Mepom,"Bad roads, Jobs, Public toilet",Emmanuel Drah (NDC),No idea,No
12/27/2024 14:32,,Student,Yes,,I support their party,NPP,People were not happy with the NPP government and wanted change,"Yes, I knew about them","Yes, he did most of the work needed",He was more visible and approachable,They were better at reaching people,Frederick Adom,,"Jobs, Schools and education, Health Services, Clean water",Frederick Obeng Adom (NPP),,No
12/27/2024 14:33,,Seamstress ,Yes,,For change ,New force,His team did not help him ,"Yes, I knew about them, Electricity ","No, he didn't solve major issues",People were not happy with the NPP government,"They focused on key issues (farming, roads, schools)",Frederick Adom,Mepom ,"Help for farmers (tools, fertilizer)",,Change his leaders ,Yes
12/27/2024 14:33,20,Tailor ,Yes,,I liked their projects or promises,NPP,He didn’t do enough for the community,"Yes, I knew about them","Yes, he did most of the work needed",People here always vote NDC,They made stronger promises,Frederick Adom,MEPOM ,"Bad roads, Jobs, Health Services, Clean water",Frederick Obeng Adom (NPP),Job creation and more infrastructure ,Yes
12/27/2024 14:34,20,Unemployed ,No,Busy,,None,People were not happy with the NPP government and wanted change,"No, I didn't know about them",,People here always vote NDC,They made stronger promises,Assifu Bekoe,Mepom,"Jobs, Health Services, Clean water",Emmanuel Drah (NDC),Fulfill their promise ,Yes
12/27/2024 14:34,,Food vendor ,Yes,,I support their party,,He didn’t do enough for the community,"No, I didn't know about them","No, he didn't solve major issues","The NDC’s promises were better, People here always vote NDC",,,Mepom ,Bad roads,,,Yes
12/27/2024 14:36,,Trader ,Yes,,I support their party,,He supported LGBTQ ,"I heard, but they didn't help me","No, he didn't solve major issues",People were not happy with the NPP government,None,,Mepom ,"Bad roads, Market ",,,Yes
12/27/2024 14:36,51,Hairdresser ,Yes,,For chnge,NDC,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","Yes, I knew about them",,"People here always vote NDC, People were not happy with the NPP government",They made stronger promises,Assifu Bekoe,Mepom ,"Jobs, Clean water",Frederick Obeng Adom (NPP),Fulfill their promise ,Yes
12/27/2024 14:36,23,Unemployed ,Yes,,"I support their party, I liked their projects or promises",None,People were not happy with the NPP government and wanted change,"No, I didn't know about them","He tried, but it wasn't enough",He was more visible and approachable,"They focused on key issues (farming, roads, schools)",Amankwanor,Mepom ,"Bad roads, Jobs, Market,lavatory ",Neither,Come out with better policies ,Yes
12/27/2024 14:37,,,No,,,,,,,,,,,,,,
12/27/2024 14:37,,,No,Couldn't transfer vote ,,,,,,,,,,,,,
12/27/2024 14:37,27,Mobile money merchant ,No,,,NPP,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","I heard, but they didn't help me","No, he didn't solve major issues","He was more visible and approachable, People here always vote NDC","They were better at reaching people, They made stronger promises",Assifu Bekoe,Mepom,"Bad roads, Jobs, Public toilet",Emmanuel Drah (NDC),Try harder,Yes
12/27/2024 14:38,,Driver ,Yes,,I liked their projects or promises,None ,He didn’t do enough for the community,"No, I didn't know about them","No, he didn't solve major issues",He was more visible and approachable,"They focused on key issues (farming, roads, schools)",Assifu Bekoe,MEPOM ,"Bad roads, Jobs, Clean water, Lavatories ",Neither,Job creation and more infrastructure ,Yes
12/27/2024 14:38,,Seamstress ,Yes,,I support their party,NPP,People were not happy with the NPP government and wanted change,"Yes, I knew about them","Yes, he did most of the work needed",He was more visible and approachable,They were better at reaching people,Frederick Adom,,"Help for farmers (tools, fertilizer), Jobs, Clean water",Frederick Obeng Adom (NPP),,Dont know
12/27/2024 14:39,,Seamstress ,Yes,,For change and development ,NPP,His team didn’t help ,"Yes, I knew about them, Electricity,roads ","Yes, he did most of the work needed",People were not happy with the NPP government,"They focused on key issues (farming, roads, schools)",Frederick Adom,Mepom ,"Jobs, Clean water, Lavatory,market ",Neither,"Come out better policies, change his leaders",Yes
12/27/2024 14:39,,Seamstress ,Yes,,I support their party,,"People vote for NDC here, ","Yes, I knew about them, Clinic, police station, school, street lights ","He tried, but it wasn't enough",People here always vote NDC,,Frederick Adom,Mepom ,"Bad roads, Schools and education, Clean water, Lavatories ",Frederick Obeng Adom (NPP),,Yes
12/27/2024 14:39,71,Farmer,No,"I wasn’t interested, NPP didnt help",,CPP,"People were not happy with the NPP government and wanted change, The NDC’s promises sounded better","No, I didn't know about them","He tried, but it wasn't enough","He was more visible and approachable, People here always vote NDC, People were not happy with the NPP government","They were better at reaching people, They made stronger promises",Salas Mensah,Mepom,"Bad roads, Jobs, Public toilet",Emmanuel Drah (NDC),Should work hard,Yes
12/27/2024 14:40,31,Boutique owner,Yes,,For change ,NDC,People vote for NDC here,"I heard, but they didn't help me",,People were not happy with the NPP government,They made stronger promises,Assifu Bekoe,Mepom ,"Jobs, Schools and education, Clean water",Emmanuel Drah (NDC),Fulfill their promise ,Yes
12/27/2024 14:40,,Seamstress ,Yes,,,NPP,,,,,,,,,,,
12/27/2024 14:41,,Trader,No,None,,,,,,,,,,,,,
12/27/2024 14:41,45,Trader ,Yes,,I liked their projects or promises,NPP,People vote for NDC here,"Yes, I knew about them","Yes, he did most of the work needed",People here always vote NDC,They were better at reaching people,Frederick Adom,MEPOM ,"Jobs, Clean water",Frederick Obeng Adom (NPP),Increase campaign and job creation ,Yes
12/27/2024 14:41,20,Student ,Yes,,"I support their party, I liked their projects or promises",NDC,People were not happy with the NPP government and wanted change,"No, I didn't know about them","No, he didn't solve major issues","The NDC’s promises were better, People here always vote NDC","They were better at reaching people, They made stronger promises",,Mepom ,Bad roads,Frederick Obeng Adom (NPP),Fulfill his promises ,Yes
12/27/2024 14:43,,Trader ,Yes,,"I support their party, They were active in the community",NDC,He didn’t do enough for the community,"No, I didn't know about them","No, he didn't solve major issues",People were not happy with the NPP government,"They focused on key issues (farming, roads, schools)",Amankwanor,Mepom ,"Bad roads, Schools and education, Health Services",Emmanuel Drah (NDC),Come out with better policies ,Yes
12/27/2024 14:43,33,Farmer ,Yes,,Cost of living ,NDC,He didn’t do enough for the community,"Yes, I knew about them, Construction of road ","No, he didn't solve major issues","The NDC’s promises were better, People here always vote NDC","They were better at reaching people, They made stronger promises",,Mepom ,"Jobs, Clean water",Neither,Create more jobs ,Yes
12/27/2024 14:43,25,Seamstress,No,I wasn’t interested,,None,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","I heard, but they didn't help me","He tried, but it wasn't enough","He was more visible and approachable, People were not happy with the NPP government","They were better at reaching people, They made stronger promises",Assifu Bekoe,Mepom,"Bad roads, Jobs",Emmanuel Drah (NDC),Should work harder,Yes
12/27/2024 14:44,19,Student ,Yes,,I support their party,NDC,He didn’t do enough for the community,"No, I didn't know about them","No, he didn't solve major issues",People were not happy with the NPP government,They made stronger promises,Frederick Adom,Mepom ,"Bad roads, Jobs, Lavatory ",Frederick Obeng Adom (NPP),Fulfilling promises ,Yes
12/27/2024 14:44,43,Farmer ,Yes,,"I support their party, I liked their projects or promises",NDC,He didn’t do enough for the community,"I heard, but they didn't help me","No, he didn't solve major issues",People here always vote NDC,They made stronger promises,Salas Mensah,Mepom ,"Jobs, Clean water",Neither,Do what the citizens says ,Yes
12/27/2024 14:44,,Hairdresser ,Yes,,I support their party,NDC,People were not happy with the NPP government and wanted change,"No, I didn't know about them","No, he didn't solve major issues",He was more visible and approachable,They were better at reaching people,Salas Mensah,,"Bad roads, Jobs, Schools and education, Health Services, Clean water",Neither,,Yes
12/27/2024 14:45,,,No,I wasn’t interested,,,,,,,,,,,,,
12/27/2024 14:45,,,Yes,,,NDC,People were not happy with the NPP government and wanted change,"Yes, I knew about them","Yes, he did most of the work needed",He was more visible and approachable,"They focused on key issues (farming, roads, schools)",Amankwanor,,"Help for farmers (tools, fertilizer), Schools and education, Health Services",Frederick Obeng Adom (NPP),,
12/27/2024 14:46,23,Student ,No,"I had no transportation, I wasn’t interested",I liked their projects or promises,None,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me","Yes, he did most of the work needed",People here always vote NDC,They were better at reaching people,,Mepom,Lavatory ,Neither,Provide the needs of the citizens ,Yes
12/27/2024 14:46,,Trader ,Yes,,For change ,NDC,He didn’t do enough for the community,"No, I didn't know about them","No, he didn't solve major issues",People were not happy with the NPP government,None,Frederick Adom,Mepom ,"Jobs, Lavatories ",Frederick Obeng Adom (NPP),They should fulfil their promises ,Yes
12/27/2024 14:46,,Seamstress ,Yes,,I support their party,NDC,"People were not happy with the NPP government and wanted change, The NDC’s promises sounded better","Yes, I knew about them","Yes, he did most of the work needed",The NDC’s promises were better,They were better at reaching people,Amankwanor,,"Bad roads, Jobs, Schools and education, Health Services",Frederick Obeng Adom (NPP),,
